seccion,segmento,Estacion
17.0,138.0,Prado
17.0,222.0,Prado
17.0,223.0,Prado
17.0,224.0,Prado
17.0,225.0,Prado
17.0,139.0,Prado
17.0,140.0,Prado
17.0,141.0,Prado
17.0,202.0,Prado
17.0,203.0,Prado
17.0,228.0,Prado
17.0,229.0,Prado
17.0,230.0,Prado
17.0,234.0,Prado
17.0,239.0,Prado
17.0,240.0,Prado
17.0,241.0,Prado
17.0,303.0,Prado
17.0,319.0,Prado
17.0,330.0,Prado
17.0,341.0,Prado
17.0,533.0,Prado
18.0,117.0,Prado
18.0,118.0,Prado
18.0,119.0,Prado
18.0,120.0,Prado
17.0,430.0,Prado
18.0,108.0,Prado
18.0,109.0,Prado
18.0,111.0,Prado
18.0,112.0,Prado
18.0,113.0,Prado
17.0,633.0,Prado
18.0,10.0,Prado
18.0,31.0,Prado
18.0,101.0,Prado
18.0,114.0,Prado
18.0,115.0,Prado
18.0,116.0,Prado
18.0,102.0,Prado
18.0,103.0,Prado
18.0,104.0,Prado
18.0,105.0,Prado
18.0,106.0,Prado
18.0,107.0,Prado
18.0,125.0,Prado
18.0,126.0,Prado
18.0,127.0,Prado
18.0,128.0,Prado
18.0,129.0,Prado
18.0,130.0,Prado
18.0,201.0,Prado
18.0,202.0,Prado
18.0,203.0,Prado
18.0,204.0,Prado
18.0,205.0,Prado
18.0,206.0,Prado
18.0,207.0,Prado
18.0,208.0,Prado
18.0,209.0,Prado
18.0,211.0,Prado
18.0,212.0,Prado
18.0,213.0,Prado
18.0,214.0,Prado
18.0,215.0,Prado
18.0,216.0,Prado
18.0,217.0,Prado
18.0,218.0,Prado
18.0,220.0,Prado
18.0,221.0,Prado
18.0,222.0,Prado
18.0,223.0,Prado
18.0,224.0,Prado
18.0,225.0,Prado
18.0,226.0,Prado
18.0,227.0,Prado
18.0,228.0,Prado
18.0,229.0,Prado
18.0,230.0,Prado
18.0,301.0,Prado
18.0,306.0,Prado
18.0,315.0,Prado
18.0,319.0,Prado
19.0,111.0,Prado
18.0,320.0,Prado
18.0,321.0,Prado
19.0,3.0,Prado
19.0,8.0,Prado
19.0,9.0,Prado
19.0,10.0,Prado
19.0,13.0,Prado
19.0,15.0,Prado
19.0,16.0,Prado
19.0,101.0,Prado
19.0,102.0,Prado
19.0,104.0,Prado
19.0,105.0,Prado
19.0,106.0,Prado
19.0,107.0,Prado
19.0,112.0,Prado
19.0,114.0,Prado
19.0,201.0,Prado
19.0,202.0,Prado
19.0,204.0,Prado
19.0,205.0,Prado
19.0,206.0,Prado
19.0,207.0,Prado
19.0,211.0,Prado
19.0,212.0,Prado
19.0,214.0,Prado
20.0,1.0,Prado
20.0,11.0,Prado
20.0,222.0,Prado
20.0,2.0,Prado
20.0,3.0,Prado
20.0,4.0,Prado
20.0,12.0,Prado
20.0,13.0,Prado
20.0,14.0,Prado
20.0,15.0,Prado
20.0,16.0,Prado
20.0,18.0,Prado
20.0,36.0,Prado
20.0,5.0,Prado
20.0,6.0,Prado
20.0,7.0,Prado
20.0,8.0,Prado
20.0,9.0,Prado
20.0,10.0,Prado
20.0,19.0,Prado
20.0,20.0,Prado
20.0,23.0,Prado
20.0,24.0,Prado
20.0,26.0,Prado
20.0,27.0,Prado
20.0,28.0,Prado
20.0,29.0,Prado
20.0,33.0,Prado
20.0,34.0,Prado
20.0,35.0,Prado
20.0,37.0,Prado
20.0,39.0,Prado
20.0,40.0,Prado
20.0,41.0,Prado
20.0,42.0,Prado
20.0,43.0,Prado
20.0,44.0,Prado
20.0,145.0,Prado
20.0,46.0,Prado
20.0,47.0,Prado
20.0,48.0,Prado
20.0,49.0,Prado
20.0,117.0,Prado
20.0,121.0,Prado
20.0,122.0,Prado
20.0,125.0,Prado
20.0,130.0,Prado
20.0,131.0,Prado
20.0,132.0,Prado
20.0,138.0,Prado
20.0,217.0,Prado
20.0,225.0,Prado
20.0,230.0,Prado
20.0,231.0,Prado
20.0,232.0,Prado
20.0,238.0,Prado
20.0,245.0,Prado
21.0,1.0,Prado
21.0,13.0,Prado
21.0,14.0,Prado
21.0,18.0,Prado
21.0,19.0,Prado
21.0,20.0,Prado
21.0,2.0,Prado
21.0,3.0,Prado
21.0,16.0,Prado
21.0,17.0,Prado
21.0,108.0,Prado
21.0,5.0,Prado
21.0,7.0,Prado
21.0,10.0,Melilla
21.0,11.0,Melilla
21.0,12.0,Melilla
21.0,21.0,Prado
21.0,23.0,Prado
21.0,24.0,Prado
21.0,26.0,Prado
21.0,27.0,Prado
21.0,31.0,Prado
21.0,33.0,Prado
21.0,34.0,Prado
21.0,35.0,Prado
21.0,37.0,Prado
21.0,38.0,Prado
21.0,39.0,Prado
21.0,40.0,Prado
21.0,43.0,Prado
21.0,45.0,Prado
21.0,109.0,Prado
22.0,104.0,Prado
21.0,47.0,Melilla
21.0,48.0,Prado
21.0,104.0,Prado
21.0,106.0,Prado
21.0,115.0,Prado
21.0,122.0,Prado
21.0,125.0,Prado
21.0,128.0,Prado
21.0,129.0,Prado
21.0,130.0,Prado
21.0,132.0,Prado
21.0,136.0,Prado
21.0,141.0,Prado
21.0,142.0,Prado
21.0,144.0,Prado
21.0,146.0,Prado
21.0,204.0,Prado
21.0,206.0,Prado
21.0,208.0,Prado
21.0,209.0,Prado
21.0,215.0,Prado
22.0,17.0,Prado
21.0,222.0,Prado
21.0,225.0,Prado
21.0,228.0,Prado
21.0,229.0,Melilla
21.0,230.0,Prado
21.0,232.0,Prado
21.0,236.0,Prado
21.0,241.0,Prado
21.0,242.0,Prado
21.0,244.0,Prado
21.0,246.0,Prado
21.0,304.0,Prado
22.0,6.0,Prado
22.0,7.0,Prado
22.0,8.0,Prado
22.0,9.0,Prado
22.0,10.0,Prado
22.0,11.0,Prado
22.0,12.0,Prado
22.0,13.0,Prado
22.0,15.0,Prado
22.0,16.0,Prado
22.0,103.0,Prado
22.0,21.0,Prado
22.0,22.0,Prado
22.0,24.0,Prado
22.0,26.0,Prado
22.0,27.0,Prado
22.0,29.0,Prado
22.0,31.0,Prado
22.0,32.0,Prado
22.0,33.0,Prado
22.0,101.0,Prado
22.0,102.0,Prado
22.0,105.0,Prado
22.0,114.0,Prado
22.0,118.0,Prado
22.0,119.0,Prado
22.0,120.0,Prado
22.0,123.0,Prado
22.0,125.0,Prado
22.0,128.0,Prado
22.0,130.0,Prado
22.0,134.0,Prado
22.0,201.0,Prado
22.0,202.0,Prado
22.0,203.0,Prado
22.0,204.0,Prado
22.0,205.0,Prado
22.0,214.0,Prado
22.0,218.0,Prado
