secc,segm,anio,mes,cantidadPredios,potencia_contratada_punta,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
3.0,3.0,2018.0,7.0,485.0,0.0,0.6927835051546392,0.15670103092783505,0.016494845360824743,112612.05900000001
3.0,3.0,2018.0,8.0,474.0,0.0,0.6919831223628692,0.16666666666666666,0.0189873417721519,106477.089
3.0,3.0,2018.0,9.0,468.0,0.0,0.6844349680170576,0.16417910447761194,0.021321961620469083,96133.89000000001
3.0,3.0,2018.0,10.0,479.0,0.0,0.681912681912682,0.1600831600831601,0.02494802494802495,84842.211
3.0,3.0,2018.0,11.0,469.0,0.0,0.6807610993657506,0.16279069767441862,0.02536997885835095,83767.283
3.0,3.0,2018.0,12.0,465.0,0.0,0.6924731182795699,0.16559139784946236,0.021505376344086023,76477.58600000001
3.0,101.0,2018.0,1.0,380.0,0.0,0.7263157894736842,0.21842105263157896,0.034210526315789476,68325.718
3.0,101.0,2018.0,2.0,369.0,0.0,0.7189189189189189,0.22432432432432434,0.03783783783783784,72454.762
3.0,101.0,2018.0,3.0,377.0,0.0,0.708994708994709,0.2328042328042328,0.037037037037037035,62961.939
3.0,101.0,2018.0,4.0,380.0,0.0,0.7075718015665796,0.23759791122715404,0.03655352480417755,71879.89600000001
3.0,101.0,2018.0,5.0,386.0,0.0,0.7054263565891473,0.24031007751937986,0.03617571059431524,68543.68
3.0,101.0,2018.0,6.0,385.0,0.0,0.6987012987012987,0.24675324675324675,0.03636363636363636,85978.04000000001
3.0,101.0,2018.0,7.0,382.0,0.0,0.6989528795811518,0.24607329842931938,0.03664921465968586,94270.419
3.0,101.0,2018.0,8.0,380.0,0.0,0.6979166666666666,0.24739583333333334,0.036458333333333336,90954.883
3.0,101.0,2018.0,9.0,388.0,0.0,0.6974358974358974,0.2512820512820513,0.038461538461538464,92366.38600000001
3.0,101.0,2018.0,10.0,382.0,0.0,0.6997389033942559,0.2454308093994778,0.03655352480417755,78129.303
3.0,101.0,2018.0,11.0,382.0,0.0,0.6892950391644909,0.2558746736292428,0.03655352480417755,73614.379
3.0,101.0,2018.0,12.0,376.0,0.0,0.6923076923076923,0.2519893899204244,0.03713527851458886,65245.618
3.0,102.0,2018.0,1.0,292.0,0.0,0.684931506849315,0.2773972602739726,0.03424657534246575,53914.2
3.0,102.0,2018.0,2.0,285.0,0.0,0.6770833333333334,0.2847222222222222,0.034722222222222224,49578.619999999995
3.0,102.0,2018.0,3.0,288.0,0.0,0.6736111111111112,0.2881944444444444,0.034722222222222224,43363.428
3.0,102.0,2018.0,4.0,292.0,0.0,0.6689419795221843,0.2935153583617747,0.034129692832764506,50189.931
3.0,102.0,2018.0,5.0,293.0,0.0,0.6689419795221843,0.2935153583617747,0.034129692832764506,50818.621
3.0,102.0,2018.0,6.0,295.0,0.0,0.6655405405405406,0.2972972972972973,0.033783783783783786,58980.268
3.0,102.0,2018.0,7.0,294.0,0.0,0.6587837837837838,0.30743243243243246,0.030405405405405407,66710.50899999999
3.0,102.0,2018.0,8.0,287.0,0.0,0.6470588235294118,0.31833910034602075,0.031141868512110725,61540.141
3.0,102.0,2018.0,9.0,287.0,0.0,0.6423611111111112,0.3229166666666667,0.03125,59734.997
3.0,102.0,2018.0,10.0,290.0,0.0,0.6460481099656358,0.3161512027491409,0.03436426116838488,51989.485
3.0,102.0,2018.0,11.0,287.0,0.0,0.6458333333333334,0.3159722222222222,0.034722222222222224,52988.614
3.0,102.0,2018.0,12.0,283.0,0.0,0.6456140350877193,0.312280701754386,0.03859649122807018,46909.526
3.0,104.0,2018.0,1.0,332.0,0.0,0.7777777777777778,0.17717717717717718,0.03303303303303303,63954.899999999994
3.0,104.0,2018.0,2.0,332.0,0.0,0.7648809523809523,0.19047619047619047,0.03273809523809524,57922.600000000006
3.0,104.0,2018.0,3.0,339.0,0.0,0.7676470588235295,0.18823529411764706,0.03235294117647059,47430.0
3.0,104.0,2018.0,4.0,345.0,0.0,0.7723342939481268,0.1844380403458213,0.03170028818443804,56170.0
3.0,104.0,2018.0,5.0,342.0,0.0,0.7631578947368421,0.19298245614035087,0.03216374269005848,62664.3
3.0,104.0,2018.0,6.0,340.0,0.0,0.7536656891495601,0.20234604105571846,0.02932551319648094,70900.0
3.0,104.0,2018.0,7.0,336.0,0.0,0.7507418397626113,0.20474777448071216,0.02967359050445104,69779.8
3.0,104.0,2018.0,8.0,336.0,0.0,0.7396449704142012,0.21301775147928995,0.029585798816568046,69950.48999999999
3.0,104.0,2018.0,9.0,338.0,0.0,0.7339181286549707,0.21929824561403508,0.029239766081871343,66040.70999999999
3.0,104.0,2018.0,10.0,339.0,0.0,0.7251461988304093,0.22514619883040934,0.03508771929824561,61872.903999999995
3.0,104.0,2018.0,11.0,345.0,0.0,0.7204610951008645,0.2276657060518732,0.037463976945244955,60668.833
3.0,104.0,2018.0,12.0,337.0,0.0,0.7210682492581603,0.22551928783382788,0.03560830860534125,54754.489
3.0,201.0,2018.0,1.0,375.0,0.0,0.736,0.21333333333333335,0.02666666666666667,63699.19
3.0,201.0,2018.0,2.0,382.0,0.0,0.7467362924281984,0.20365535248041775,0.028720626631853787,67067.95199999999
3.0,201.0,2018.0,3.0,352.0,0.0,0.7429378531073446,0.211864406779661,0.025423728813559324,59152.3
3.0,201.0,2018.0,4.0,369.0,0.0,0.7289972899728997,0.2222222222222222,0.02168021680216802,64940.100000000006
3.0,201.0,2018.0,5.0,367.0,0.0,0.7223719676549866,0.2210242587601078,0.029649595687331536,61250.2
3.0,201.0,2018.0,6.0,376.0,0.0,0.7150395778364116,0.23218997361477572,0.023746701846965697,84877.35
3.0,201.0,2018.0,7.0,377.0,0.0,0.7105263157894737,0.23684210526315788,0.02368421052631579,92145.93999999999
3.0,201.0,2018.0,8.0,369.0,0.0,0.7262872628726287,0.23577235772357724,0.02168021680216802,88286.148
3.0,201.0,2018.0,9.0,373.0,0.0,0.7192513368983957,0.23529411764705882,0.0213903743315508,87302.7
3.0,201.0,2018.0,10.0,379.0,0.0,0.7146596858638743,0.23821989528795812,0.02356020942408377,67137.892
3.0,201.0,2018.0,11.0,372.0,0.0,0.7131367292225201,0.2359249329758713,0.02680965147453083,65127.255000000005
3.0,201.0,2018.0,12.0,369.0,0.0,0.7108108108108108,0.24324324324324326,0.02702702702702703,58715.9
3.0,202.0,2018.0,1.0,437.0,0.0,0.6979405034324943,0.2448512585812357,0.04576659038901602,72451.061
3.0,202.0,2018.0,2.0,424.0,0.0,0.6854460093896714,0.25821596244131456,0.04460093896713615,71832.159
3.0,202.0,2018.0,3.0,395.0,0.0,0.6691729323308271,0.2706766917293233,0.047619047619047616,64731.18
3.0,202.0,2018.0,4.0,419.0,0.0,0.672209026128266,0.27315914489311166,0.04275534441805225,73814.86
3.0,202.0,2018.0,5.0,416.0,0.0,0.6730310262529833,0.2744630071599045,0.0405727923627685,68641.5
3.0,202.0,2018.0,6.0,416.0,0.0,0.6778846153846154,0.27163461538461536,0.038461538461538464,90491.589
3.0,202.0,2018.0,7.0,419.0,0.0,0.6729411764705883,0.28,0.03764705882352941,91313.31899999999
3.0,202.0,2018.0,8.0,422.0,0.0,0.6705882352941176,0.28,0.03764705882352941,88233.82199999999
3.0,202.0,2018.0,9.0,418.0,0.0,0.6650717703349283,0.284688995215311,0.03827751196172249,93946.97
3.0,202.0,2018.0,10.0,420.0,0.0,0.66270783847981,0.28741092636579574,0.03800475059382423,73515.898
3.0,202.0,2018.0,11.0,418.0,0.0,0.6610978520286396,0.28878281622911695,0.03818615751789976,75646.902
3.0,202.0,2018.0,12.0,423.0,0.0,0.6604215456674473,0.2903981264637002,0.03747072599531616,72045.85800000001
3.0,204.0,2018.0,1.0,350.0,0.0,0.6011396011396012,0.33618233618233617,0.019943019943019943,55420.100000000006
3.0,204.0,2018.0,2.0,347.0,0.0,0.5862068965517241,0.34770114942528735,0.020114942528735632,54920.8
3.0,204.0,2018.0,3.0,350.0,0.0,0.5795454545454546,0.35511363636363635,0.019886363636363636,43651.42
3.0,204.0,2018.0,4.0,354.0,0.0,0.5810055865921788,0.35195530726256985,0.019553072625698324,52724.22
3.0,204.0,2018.0,5.0,356.0,0.0,0.5658263305322129,0.36134453781512604,0.0196078431372549,56250.792
3.0,204.0,2018.0,6.0,360.0,0.0,0.5611111111111111,0.36944444444444446,0.016666666666666666,69577.33600000001
3.0,204.0,2018.0,7.0,368.0,0.0,0.5570652173913043,0.3695652173913043,0.016304347826086956,71651.968
3.0,204.0,2018.0,8.0,351.0,0.0,0.5612535612535613,0.37037037037037035,0.017094017094017096,69268.344
3.0,204.0,2018.0,9.0,354.0,0.0,0.559322033898305,0.3700564971751412,0.01977401129943503,60554.06
3.0,204.0,2018.0,10.0,356.0,0.0,0.5686274509803921,0.3557422969187675,0.022408963585434174,51859.144
3.0,204.0,2018.0,11.0,360.0,0.0,0.569060773480663,0.36187845303867405,0.022099447513812154,55712.498
3.0,204.0,2018.0,12.0,360.0,0.0,0.5678670360110804,0.3601108033240997,0.0221606648199446,47459.258
4.0,1.0,2018.0,1.0,831.0,0.0,0.6706730769230769,0.25,0.02403846153846154,142786.95799999998
4.0,1.0,2018.0,2.0,842.0,0.0,0.672189349112426,0.25088757396449707,0.022485207100591716,144223.227
4.0,1.0,2018.0,3.0,832.0,0.0,0.667065868263473,0.25389221556886227,0.023952095808383235,133776.51799999998
4.0,1.0,2018.0,4.0,833.0,0.0,0.6754491017964072,0.2467065868263473,0.023952095808383235,133206.767
4.0,1.0,2018.0,5.0,831.0,0.0,0.6706302021403091,0.2497027348394768,0.023781212841854936,137678.12300000002
4.0,1.0,2018.0,6.0,823.0,0.0,0.662621359223301,0.25728155339805825,0.024271844660194174,165703.986
4.0,1.0,2018.0,7.0,816.0,0.0,0.6621787025703795,0.2607099143206854,0.023255813953488372,184535.014
4.0,1.0,2018.0,8.0,826.0,0.0,0.6638554216867469,0.26144578313253014,0.02289156626506024,181387.32
4.0,1.0,2018.0,9.0,807.0,0.0,0.6637931034482759,0.2647783251231527,0.020935960591133004,168066.139
4.0,1.0,2018.0,10.0,834.0,0.0,0.6586826347305389,0.2682634730538922,0.022754491017964073,132545.179
4.0,1.0,2018.0,11.0,832.0,0.0,0.6515513126491647,0.26968973747016706,0.026252983293556086,143700.70500000002
