secc,segm,anio,mes,cantidadPredios,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
4.0,103.0,2019.0,5.0,1142.0,0.6865148861646234,0.24605954465849386,0.03590192644483362,218094.375
4.0,103.0,2019.0,6.0,1153.0,0.6825672159583694,0.2532523850823938,0.03555941023417172,243378.916
4.0,103.0,2019.0,7.0,1147.0,0.681184668989547,0.2534843205574913,0.03484320557491289,263353.05
4.0,103.0,2019.0,8.0,1147.0,0.6721883173496077,0.26416739319965127,0.03312990409764603,305020.803
4.0,103.0,2019.0,9.0,1115.0,0.6807174887892377,0.25291479820627805,0.03766816143497758,271768.747
4.0,103.0,2019.0,10.0,1160.0,0.6712564543889845,0.2607573149741824,0.0378657487091222,242685.891
4.0,103.0,2019.0,11.0,1132.0,0.6696113074204947,0.2623674911660777,0.037102473498233215,250560.43
4.0,103.0,2019.0,12.0,1145.0,0.6655021834061136,0.2663755458515284,0.03755458515283843,217602.397
4.0,204.0,2019.0,1.0,937.0,0.7257203842049093,0.2390608324439701,0.026680896478121666,174475.93300000002
4.0,204.0,2019.0,2.0,928.0,0.7204301075268817,0.24408602150537634,0.026881720430107527,171698.921
4.0,204.0,2019.0,3.0,941.0,0.7130712008501594,0.2507970244420829,0.026567481402763018,159806.689
4.0,204.0,2019.0,4.0,938.0,0.7078891257995735,0.2547974413646055,0.026652452025586353,150033.88
4.0,204.0,2019.0,5.0,941.0,0.7045696068012752,0.2603613177470776,0.026567481402763018,177515.722
4.0,204.0,2019.0,6.0,944.0,0.6987315010570825,0.2642706131078224,0.026427061310782242,199216.68099999998
4.0,204.0,2019.0,7.0,940.0,0.698936170212766,0.26382978723404255,0.026595744680851064,214737.087
4.0,204.0,2019.0,8.0,945.0,0.6955602536997886,0.2653276955602537,0.02748414376321353,243797.58299999998
4.0,204.0,2019.0,9.0,945.0,0.6966173361522199,0.2642706131078224,0.026427061310782242,236849.163
